As,Qz,S-I,S-II
13.2,4.5,9.75,8.62
10.57,1.0,3.37,3.93
10.78,2.4,6.56,0.93
7.94,2.6,5.06,2.81
10.46,0.8,4.5,2.25
12.47,5.9,10.31,5.25
9.94,2.29,6.75,2.43
13.42,4.59,7.31,2.62
14.46,7.6,11.62,11.25
13.27,6.1,12.0,7.31
6.08,3.0,3.37,4.87
13.77,3.6,8.06,4.68
14.12,4.9,7.87,4.31
12.02,2.2,4.87,1.87
9.45,2.8,4.5,2.06
12.26,5.3,8.62,5.43
13.59,3.3,3.75,4.12
12.27,4.4,10.87,6.56
11.86,3.5,7.68,4.31
14.27,7.0,10.5,9.56
10.78,3.3,6.0,0.93
12.45,4.4,4.31,4.12
9.18,3.6,3.37,1.5
14.87,5.7,10.87,8.62
11.14,2.8,6.75,1.12
11.94,3.9,5.25,2.43
10.45,2.0,6.18,3.0
11.8,4.9,2.25,2.43
14.06,7.2,11.06,11.25
12.39,4.09,1.5,1.12
8.36,2.9,4.31,4.87
10.15,4.3,3.37,1.5
12.12,4.5,7.12,5.62
8.03,4.09,7.12,5.06
12.05,5.09,7.68,5.43
10.76,3.2,6.37,5.43
11.66,5.9,8.81,5.62
12.45,3.2,5.43,3.37
12.0,4.2,1.12,1.12
9.87,2.0,1.5,2.81
5.29,3.7,0.37,1.12
12.83,3.6,3.37,3.75
10.41,2.29,4.87,3.75
12.97,5.8,4.31,2.43
9.61,3.2,1.87,0.37
11.47,1.2,3.56,1.5
13.97,9.19,11.81,8.25
13.58,5.3,10.12,6.93
10.89,4.9,2.25,2.25
8.86,4.09,5.43,4.31
11.08,4.8,5.43,3.75
13.01,8.19,9.75,8.81
12.45,6.0,6.37,7.68
11.71,4.7,4.31,4.12
13.75,6.4,9.0,5.62
12.04,3.1,5.43,3.75
10.89,7.0,6.37,4.68
8.94,5.0,4.87,1.87
13.18,3.7,5.25,4.5
11.69,6.4,8.06,10.31
11.46,5.2,5.62,6.93
7.59,3.8,3.75,3.37
6.94,4.09,3.09,1.31
11.7,2.7,2.62,2.81
9.37,3.5,2.43,1.87
11.45,4.59,7.31,2.25
10.09,3.6,3.75,3.37
12.23,2.2,1.87,2.06
13.14,6.0,5.06,5.06
9.23,3.0,4.87,5.25
10.64,1.7,6.18,4.68
14.31,9.8,13.87,12.37
11.39,3.8,7.5,7.5
13.88,7.6,8.62,7.87
10.64,3.9,5.43,3.56
12.12,6.6,5.25,6.93
12.38,5.6,6.93,8.43
12.79,5.2,7.68,7.5
11.2,2.6,5.43,5.06
11.68,6.2,7.87,7.68
13.02,5.7,6.18,7.68
9.89,1.7,4.87,4.12
11.97,4.09,4.31,5.62
13.02,6.5,8.43,8.43
11.66,5.8,5.25,4.5
9.13,0.2,4.12,1.5
10.61,4.4,6.93,4.68
11.29,6.8,8.25,8.43
11.42,6.3,6.56,2.62
11.41,7.2,8.62,8.06
10.94,3.2,6.18,5.62
10.85,3.5,5.25,3.56
13.75,7.8,7.31,8.62
13.19,6.5,7.12,6.0
9.2,5.7,5.62,6.56
12.71,7.2,9.75,8.43
11.1,1.8,3.93,3.56
9.05,3.7,7.12,5.06
10.62,1.0,6.0,6.18
13.1,7.6,8.25,8.06
11.52,6.5,5.43,5.62
13.8,8.3,8.62,9.0
12.71,6.8,5.62,5.06
12.6,8.4,11.43,9.75
12.51,4.3,3.18,3.0
11.97,4.5,4.12,3.75
11.8,6.4,5.43,6.37
12.93,8.4,5.25,5.62
9.78,5.06,7.87,6.0
9.05,5.16,6.18,6.75
8.27,7.21,5.81,8.81
10.76,6.96,4.12,6.93
10.17,5.18,4.87,4.5
2.82,4.95,3.56,0.75
12.7,5.45,6.18,6.18
8.48,4.38,4.87,3.37
14.21,6.77,8.43,7.68
10.69,3.4,4.87,2.62
10.48,4.46,2.06,2.25
10.53,3.35,3.56,1.5
13.33,6.74,5.81,6.56
10.16,4.97,3.18,3.0
10.86,5.88,6.37,6.37
4.24,4.38,2.81,3.18
9.71,6.56,6.0,7.12
10.58,7.01,6.18,4.31
14.29,7.75,9.37,7.5
10.74,3.82,2.81,2.06
4.84,4.14,2.62,0.75
13.47,6.74,6.37,5.06
12.9,6.32,8.43,5.06
12.51,6.01,5.43,6.56
12.68,7.42,9.0,12.18
14.36,7.95,9.18,9.75
11.64,6.94,6.93,6.18
11.7,5.83,6.75,10.12
13.57,7.82,5.62,6.37
10.87,4.11,2.81,3.0
13.73,4.7,4.87,4.5
13.73,7.5,6.75,9.18
10.05,7.02,6.93,6.93
13.55,6.39,6.37,8.62
7.28,4.93,3.0,3.18
12.01,7.02,3.37,6.18
10.44,6.37,5.62,3.56
12.94,6.65,6.0,12.18
10.04,4.63,4.12,3.56
5.41,4.25,3.0,2.81
13.9,5.88,5.43,4.87
13.13,6.26,3.18,3.37
13.58,7.81,8.25,8.62
14.5,7.9,4.68,12.0
10.66,6.51,6.18,4.31
14.42,7.4,5.62,6.93
14.48,7.43,6.56,10.87
7.56,8.1,7.12,5.81
12.87,7.26,6.0,6.18
8.65,5.76,3.93,1.68
14.09,6.97,4.68,5.62
14.19,7.03,8.25,8.06
12.55,6.65,4.12,3.37
12.89,6.99,4.12,7.87
9.13,6.71,7.87,6.75
13.39,6.4,5.43,3.93
12.02,6.95,5.25,7.87
11.98,6.9,5.06,6.37
11.37,6.85,6.0,8.43
13.32,6.1,3.37,1.87
12.31,7.46,5.62,6.18
9.19,7.09,7.12,2.25
13.77,6.95,4.68,9.56
11.9,7.46,5.81,5.62
9.84,7.39,4.12,3.0
,4.29,,4.31
11.62,6.0,4.5,2.43
4.62,6.87,6.75,6.75
9.1,5.53,3.75,1.31
5.25,7.51,6.93,5.43
11.27,6.58,3.56,5.43
7.06,5.09,1.68,5.81
13.22,7.48,6.37,3.56
12.93,6.46,4.5,6.18
13.2,6.63,10.68,8.62
12.98,10.0,8.25,10.5
12.73,5.3,5.62,4.68
9.71,5.26,4.68,2.15
13.85,7.9,5.25,9.0
7.01,4.93,5.25,3.75
8.05,5.66,4.5,2.43
10.02,4.8,3.37,2.06
7.45,5.9,3.37,4.31
11.07,5.6,3.75,5.62
8.85,8.46,8.34,7.31
13.84,8.46,12.0,9.18
14.58,10.0,13.21,12.0
11.26,5.86,4.78,4.12
10.49,6.4,7.12,7.31
10.28,5.36,4.4,2.25
13.97,6.06,5.53,4.31
14.55,9.6,8.53,8.81
8.81,6.4,4.68,3.0
10.38,5.09,3.18,
11.06,5.13,8.43,4.31
11.14,5.9,6.93,2.71
7.33,4.8,1.59,2.71
10.62,4.8,5.34,2.43
10.16,4.93,5.9,1.68
4.0,1.2,0.93,0.46
12.22,6.86,7.68,5.62
11.33,8.6,7.12,3.56
8.88,4.95,3.56,1.5
12.59,7.6,5.53,6.75
11.83,6.4,6.93,3.84
10.94,5.4,4.87,4.33
9.55,6.5,3.93,2.43
10.23,7.9,5.62,8.1
11.76,6.5,6.28,5.62
6.6,1.5,3.93,2.06
13.14,4.8,4.12,4.61
9.47,5.0,4.21,3.18
2.04,1.4,3.0,0.56
14.01,8.3,5.62,5.62
13.23,6.7,4.87,9.75
11.39,2.2,3.28,2.34
12.41,6.9,4.5,2.81
12.01,5.4,4.03,1.4
11.23,4.7,4.31,3.28
11.55,5.5,2.71,1.78
12.32,8.0,7.03,8.15
,3.45,2.62,1.5
12.99,7.3,2.15,3.28
7.13,8.4,5.06,3.46
4.59,5.8,4.68,1.5
10.78,4.0,2.9,1.68
8.54,5.9,5.9,3.18
8.86,5.5,3.0,3.37
13.46,6.3,4.87,4.59
10.36,7.0,5.25,3.0
12.22,6.1,4.5,3.93
10.13,4.7,4.12,5.06
9.72,3.55,4.5,2.06
12.66,7.7,6.18,4.12
12.68,5.05,5.43,6.75
11.68,7.5,6.56,2.34
11.06,9.06,4.68,4.12
12.75,6.2,3.56,2.43
6.25,2.26,6.93,3.37
13.98,10.0,10.68,6.56
8.8,7.73,3.93,1.5
13.95,9.69,8.53,5.15
6.13,2.4,2.43,1.87
13.25,6.83,5.25,9.09
10.48,5.0,3.37,1.78
10.48,9.19,5.53,6.56
12.96,5.13,5.81,2.34
10.93,4.83,6.93,6.09
12.13,6.6,5.25,2.15
12.44,6.4,5.62,1.87
13.49,8.13,5.81,5.25
12.05,8.4,8.06,11.06
10.38,8.69,7.12,6.93
13.79,9.6,11.06,7.21
10.69,4.59,5.43,4.12
10.8,7.9,8.06,6.37
12.6,9.9,10.96,8.15
13.27,7.6,7.12,6.93
4.8,2.4,4.68,0.75
10.87,7.9,7.31,5.53
8.7,5.86,4.5,4.96
11.41,7.53,5.06,2.43
8.76,5.09,4.31,1.59
13.22,7.73,4.4,4.31
11.03,5.46,6.56,2.9
9.53,5.13,3.37,1.59
9.4,7.1,5.25,1.5
13.87,6.2,8.06,4.31
8.16,3.2,4.4,1.4
